"Title","Cen_Desf","Fund_Teor","Clar_Res","Ilustr","Repos","Qualid","Total","QP_count","QPs"
"DoraCycle: Domain-Oriented Adaptation of Unified Generative Model in Multimodal Cycles","2","2","2","2","1","1","10","6","QP1,QP3,QP6,QP7,QS1,QS3"
"MedUnifier: Unifying Vision-and-Language Pre-training on Medical Data with Vision Generation Task","2","2","2","2","0","2","10","6","QP1,QP6,QP7,QS2,QS3,QS4"
"Explainable Multi-modal Wound Infection Classification from Images Augmented with Generated Captions","2","2","2","2","0","1","9","5","QP1,QP5,QP6,QS3,QS4"
"UniGS: Unified Language-Image-3D Pretraining with Gaussian Splatting","0","3","2","2","1","2","10","4","QP1,QP6,QP7,QS1"
"Mitigating the Modality Gap: Few-Shot Out-of-Distribution Detection with Multi-modal Prototypes","2","2","2","2","0","1","9","5","QP1,QP5,QP6,QS2,QS3"
"Dynamic Adapter with Semantics Disentangling for Cross-lingual Cross-modal Retrieval","1","2","2","2","1","1","9","5","QP1,QP6,QP7,QS1,QS3"
"Embedding and Enriching Explicit Semantics for Visible-Infrared Person Re-Identification","0","2","2","2","0","1","7","4","QP1,QP5,QP6,QS2"
"CLIP-PING: Boosting Lightweight Vision-Language Models with Proximus Intrinsic Neighbors Guidance","1","2","2","2","0","1","8","5","QP1,QP6,QP7,QS2,QS3"
"CLIPS: An Enhanced CLIP Framework for Learning with Synthetic Captions","1","2","2","2","1","1","9","4","QP1,QP6,QP7,QS1"
"Uni-Mlip: Unified Self-supervision for Medical Vision Language Pre-training","2","3","2","1","0","2","10","6","QP1,QP6,QP7,QS2,QS3,QS4"
"Multi-Stage Knowledge Integration of Vision-Language Models for Continual Learning","1","2","2","2","0","1","8","4","QP1,QP5,QP6,QS2"
"GSSF: Generalized Structural Sparse Function for Deep Cross-modal Metric Learning","0","3","2","2","0","1","8","5","QP1,QP2,QP5,QP6,QS2"
"CMAL: A Novel Cross-Modal Associative Learning Framework for Vision-Language Pre-Training","0","2","3","2","1","2","10","6","QP1,QP5,QP6,QP7,QS1,QS2"
"NEVLP: Noise-Robust Framework for Efficient Vision-Language Pre-training","1","2","2","2","0","1","8","4","QP1,QP6,QP7,QS2"
"EyeCLIP: A visual-language foundation model for multi-modal ophthalmic image analysis","2","3","3","2","1","2","13","7","QP1,QP6,QP7,QS1,QS2,QS3,QS4"
"Efficient and Versatile Robust Fine-Tuning of Zero-shot Models","2","2","3","2","1","2","12","5","QP1,QP6,QP7,QS1,QS2"
"Leveraging Entity Information for Cross-Modality Correlation Learning: The Entity-Guided Multimodal Summarization","1","2","2","2","1","1","9","5","QP1,QP2,QP6,QS1,QS2"
"Object-Aware Query Perturbation for Cross-Modal Image-Text Retrieval","0","2","2","2","1","1","8","6","QP1,QP5,QP6,QP7,QS1,QS2"
"Efficient and Long-Tailed Generalization for Pre-trained Vision-Language Model","2","2","2","2","1","1","10","5","QP1,QP6,QP7,QS1,QS3"
"One Perturbation is Enough: On Generating Universal Adversarial Perturbations against Vision-Language Pre-training Models","0","2","2","2","0","1","7","4","QP1,QP6,QP7,QS2"
"Enhancing medical vision-language contrastive learning via inter-matching relation modelling","1","3","3","2","0","2","11","8","QP1,QP2,QP5,QP6,QP7,QS2,QS3,QS4"
"IQAGPT: Image Quality Assessment with Vision-language and ChatGPT Models","1","2","2","2","0","1","8","6","QP1,QP5,QP6,QP7,QS3,QS4"
