"Title","Cen_Desf","Fund_Teor","Clar_Res","Ilustr","Repos","Qualid","Total","QP_count","QPs"
"FaD-VLP: Fashion VLP towards Unified Retrieval and Captioning","1","2","2","2","0","1","8","4","QP1,QP3,QP6,QP7"
"Learning by Hallucinating: VLP with Weak Supervision","2","2","2","1","0","1","8","5","QP1,QP3,QP6,QP7,QS3"
"ERNIE-ViL 2.0: Multi-view Contrastive Learning for IT Pre-Training","1","3","3","2","1","2","12","4","QP1,QP6,QP7,QS2"
"Universal VL Dense Retrieval: Unified Representation Space","1","2","2","2","1","1","9","4","QP1,QP6,QP7,QS2"
"Efficient VLP with Visual Concepts and Hierarchical Alignment (ViCHA)","2","3","2","2","1","2","12","7","QP1,QP2,QP5,QP6,QP7,QS3"
"ALADIN: Distilling Fine-grained Alignment Scores for IT Matching","1","2","2","2","1","1","9","4","QP1,QP2,QP6,QP7"
"Intra-Modal Constraint Loss For Image-Text Retrieval","1","2","2","1","1","1","8","5","QP1,QP6,QP7,QS1,QS2"
"Contrastive Cross-Modal Knowledge Sharing Pre-training for VL Retrieval","1","2","2","2","0","1","8","4","QP1,QP2,QP6,QP7"
"Prompt-based Learning for Unpaired Image Captioning","2","2","2","1","0","1","8","3","QP1,QP5,QP6"
"mPLUG: Effective and Efficient VL Learning by Cross-modal Skip-connections","1","3","3","2","1","2","12","3","QP1,QP6,QP7"
"COTS: Collaborative Two-Stream VLP for Cross-Modal Retrieval","1","2","2","2","1","1","9","4","QP1,QP5,QP6,QP7"
"Single-Stream Multi-Level Alignment for VLP","1","2","2","2","0","1","8","4","QP1,QP5,QP6,QP7"
"Unsupervised VLP via Retrieval-based Multi-Granular Alignment","2","2","2","1","0","1","8","3","QP1,QP6,QP7"
"Multi-modal Alignment using Representation Codebook","1","2","2","2","0","1","8","4","QP1,QP5,QP6,QP7"
"Florence: A New Foundation Model for Computer Vision","1","3","3","2","0","2","11","3","QP1,QP6,QP7"
"UFO: UniFied TransfOrmer for VL Representation Learning","1","2","2","2","0","1","8","3","QP1,QP6,QP7"
"VLDeformer: Vision-Language Decomposed Transformer for Fast Cross-Modal Retrieval","1","2","2","2","1","1","9","3","QP1,QP5,QP6"
"Align before Fuse (ALBEF): VL Representation Learning with Momentum Distillation","1","3","3","2","1","2","12","5","QP1,QP5,QP6,QP7"
"Seeing Out of tHe bOx (SOHO): End-to-End Pre-training for VL Representation","1","2","2","2","1","1","9","4","QP1,QP6,QP7"
"UC2: Universal Cross-lingual Cross-modal VLP","1","2","2","2","1","1","9","3","QP1,QP6,QP7"
"LightningDOT: Pre-training Visual-Semantic Embeddings for Real-Time Retrieval","1","2","2","2","1","1","9","3","QP1,QP6,QP7"
"Scaling Up Visual and VL Representation Learning With Noisy Text (ALIGN)","2","3","3","2","0","2","12","5","QP1,QP3,QP6,QP7,QS2"
"Learning to Represent Image and Text with Denotation Graph","1","3","2","2","1","2","11","5","QP1,QP2,QP6,QP7,QS1"
"CAFe: Unifying Representation and Generation with Contrastive-Autoregressive Finetuning","1","2","2","2","0","1","8","3","QP1,QP6,QP7"
"LLaVE: Large Language and Vision Embedding Models with Hardness-Weighted CL","1","2","2","2","1","1","9","3","QP1,QP6,QP7"
"VisTA: VL Alignment for Reliable Alzheimer's Disease Diagnosis","2","3","2","2","1","2","12","6","QP1,QP5,QP6,QP7,QS3,QS4"
"KPL: Training-Free Medical Knowledge Mining of VLMs","2","2","2","2","1","1","10","5","QP1,QP5,QP6,QP7,QS4"
"SCOT: Self-Supervised Contrastive Pretraining For Zero-Shot Compositional Retrieval","1","2","2","1","1","1","8","3","QP1,QP6,QP7"
"Re-ranking the Context for Multimodal Retrieval Augmented Generation","1","2","2","2","1","1","9","4","QP1,QP6,QP7,QS2"
"RAG-Check: Evaluating Multimodal Retrieval Augmented Generation Performance","1","2","2","2","1","1","9","4","QP1,QP6,QP7,QS2"
"Multi-Head Attention Driven Dynamic Visual-Semantic Embedding for IT Matching","1","2","2","2","0","1","8","4","QP1,QP2,QP6,QP7"
